regional_indicator,embedding_x,embedding_y
Western Europe,19.784552,-5.4422326
Western Europe,60.896954,-8.874001
Sub-Saharan Africa,36.22791,5.6576767
Sub-Saharan Africa,-20.929031,16.144363
Sub-Saharan Africa,0.65333724,-32.08363
Sub-Saharan Africa,-36.842075,-39.791656
Sub-Saharan Africa,28.577139,43.370632
Sub-Saharan Africa,-0.8407473,-65.26373
Sub-Saharan Africa,12.016544,20.354197
Sub-Saharan Africa,-65.78801,-1.9340935
Sub-Saharan Africa,5.4718556,55.310513
Sub-Saharan Africa,32.09378,-39.432117
Sub-Saharan Africa,8.3119135,-6.3611593
Sub-Saharan Africa,66.970345,-4.5347376
Latin America and Caribbean,40.108116,9.670739
Latin America and Caribbean,-25.4494,-11.475638
Latin America and Caribbean,-18.8953,11.105646
Latin America and Caribbean,-27.588287,46.090034
Latin America and Caribbean,-44.200706,22.553951
Latin America and Caribbean,-3.4831374,-27.596804
Latin America and Caribbean,-29.953451,-41.678215
Latin America and Caribbean,29.086939,36.74649
Latin America and Caribbean,3.337711,-60.79095
Latin America and Caribbean,5.908728,15.3910675
Latin America and Caribbean,-58.66484,-1.2723324
Latin America and Caribbean,1.334542,50.24658
Latin America and Caribbean,33.487576,-32.722027
Latin America and Caribbean,15.189513,-7.0359874
Latin America and Caribbean,65.47998,-7.643529
Central and Eastern Europe,-26.614487,-14.827199
Central and Eastern Europe,-22.594994,50.31821
Central and Eastern Europe,-39.46233,24.43614
Central and Eastern Europe,3.6504407,-28.226257
Central and Eastern Europe,-32.04557,-35.690414
Central and Eastern Europe,33.471306,39.5947
Central and Eastern Europe,-2.5078871,-59.397034
Central and Eastern Europe,5.982949,20.360157
Central and Eastern Europe,-59.379707,-5.8722177
Central and Eastern Europe,-1.688517,52.3548
Central and Eastern Europe,30.015608,-33.07811
Central and Eastern Europe,15.827659,-2.916554
Central and Eastern Europe,63.75716,-6.2790604
Sub-Saharan Africa,38.42497,9.047878
Sub-Saharan Africa,-18.339119,12.020071
Sub-Saharan Africa,-43.043438,19.575605
Sub-Saharan Africa,-2.513188,-29.768763
Sub-Saharan Africa,-32.02948,-41.3679
Sub-Saharan Africa,29.484924,39.87861
Sub-Saharan Africa,1.4029866,-62.210938
Sub-Saharan Africa,7.655475,15.968077
Sub-Saharan Africa,-60.860195,-2.2110968
Sub-Saharan Africa,2.8869889,50.62653
Sub-Saharan Africa,32.389736,-34.99156
Sub-Saharan Africa,12.679589,-2.9715738
Latin America and Caribbean,51.371296,15.837517
Latin America and Caribbean,-23.268692,-10.844079
Latin America and Caribbean,-18.24622,8.666283
Latin America and Caribbean,-27.115297,44.18027
Latin America and Caribbean,-47.02181,23.70199
Latin America and Caribbean,-3.5838444,-24.506878
Latin America and Caribbean,-28.032215,-41.54762
Latin America and Caribbean,29.167837,34.387096
Latin America and Caribbean,3.532224,-58.17022
Latin America and Caribbean,4.585881,15.223133
Latin America and Caribbean,-56.996323,-1.9582936
Latin America and Caribbean,0.041998785,48.298912
Latin America and Caribbean,32.974632,-31.97658
Latin America and Caribbean,16.696764,-6.7900395
Latin America and Caribbean,64.40143,-7.112953
Central and Eastern Europe,-25.110552,-14.808337
Central and Eastern Europe,-40.84193,25.050528
Central and Eastern Europe,1.8980381,-27.52774
Central and Eastern Europe,-31.71025,-37.702625
Central and Eastern Europe,32.76534,38.17599
Central and Eastern Europe,-1.4612722,-59.011127
Central and Eastern Europe,3.8114583,19.684153
Central and Eastern Europe,-57.740906,-5.3266225
Central and Eastern Europe,-1.6699398,49.829414
Central and Eastern Europe,29.875868,-31.773096
Central and Eastern Europe,16.566843,-3.651625
Central and Eastern Europe,63.165634,-8.62724
Sub-Saharan Africa,37.23778,6.578888
Sub-Saharan Africa,-29.253597,-11.399429
Sub-Saharan Africa,-19.771994,15.839599
Sub-Saharan Africa,-40.047585,19.810835
Sub-Saharan Africa,-0.55071175,-32.78711
Sub-Saharan Africa,-36.810284,-40.201324
Sub-Saharan Africa,28.3068,42.990555
Sub-Saharan Africa,0.057458002,-65.47937
Sub-Saharan Africa,11.019315,20.547453
Sub-Saharan Africa,-64.54051,-2.9097044
Sub-Saharan Africa,3.531696,54.528316
Sub-Saharan Africa,33.19759,-38.347706
Sub-Saharan Africa,9.491259,-5.565495
Sub-Saharan Africa,-20.047829,17.61254
Sub-Saharan Africa,-27.014563,52.094753
Sub-Saharan Africa,1.3138993,-33.138096
Sub-Saharan Africa,-0.9943205,-66.58791
Sub-Saharan Africa,33.930622,-39.85578
Southeast Asia,38.993275,6.1644955
Southeast Asia,-28.24712,-11.325108
Southeast Asia,-20.920856,13.015314
Southeast Asia,-28.726297,48.552982
Southeast Asia,-44.278072,19.058735
Southeast Asia,-5.0699177,-28.939697
Southeast Asia,-32.124256,-43.49632
Southeast Asia,27.196106,43.91052
Southeast Asia,-1.2042137,-63.45627
Southeast Asia,9.910174,15.910091
Southeast Asia,-61.749508,-0.6144688
Southeast Asia,5.630812,51.334297
Southeast Asia,34.51201,-33.924965
Southeast Asia,14.733533,-8.029661
Southeast Asia,67.498024,-7.2009454
Sub-Saharan Africa,36.993755,6.473567
Sub-Saharan Africa,-28.96845,-11.342521
Sub-Saharan Africa,-19.650057,15.657089
Sub-Saharan Africa,-27.114222,50.18398
Sub-Saharan Africa,-40.125755,19.459667
Sub-Saharan Africa,-0.15180148,-32.59358
Sub-Saharan Africa,-36.298763,-40.105133
Sub-Saharan Africa,28.3499,42.57839
Sub-Saharan Africa,0.5509741,-65.02045
Sub-Saharan Africa,10.459582,20.008575
Sub-Saharan Africa,-64.69798,-2.378675
Sub-Saharan Africa,4.3198814,53.940975
Sub-Saharan Africa,32.53114,-38.28795
Sub-Saharan Africa,9.942593,-5.3997545
Sub-Saharan Africa,67.349014,-5.031363
North America and ANZ,50.384823,14.8973055
North America and ANZ,-19.986328,-9.4743
North America and ANZ,-17.740797,5.082114
North America and ANZ,-26.533783,41.38473
North America and ANZ,-49.83029,24.395887
North America and ANZ,-4.8769197,-21.487629
North America and ANZ,-24.732227,-43.618942
North America and ANZ,29.131466,30.837599
North America and ANZ,7.2587676,-56.120445
North America and ANZ,0.7044678,12.027884
North America and ANZ,-51.221355,-2.0030844
North America and ANZ,-1.878811,42.157936
North America and ANZ,33.166924,-25.704058
North America and ANZ,22.741232,-5.7376637
North America and ANZ,59.819397,-11.324618
Sub-Saharan Africa,36.021446,6.7537694
Sub-Saharan Africa,-29.476614,-12.920921
Sub-Saharan Africa,-19.87136,16.089201
Sub-Saharan Africa,-27.474102,51.81063
Sub-Saharan Africa,-39.39227,19.846054
Sub-Saharan Africa,-0.69934285,-33.39615
Sub-Saharan Africa,-37.16286,-40.31899
Sub-Saharan Africa,30.53021,43.91416
Sub-Saharan Africa,-0.9497585,-65.97739
Sub-Saharan Africa,11.327431,21.355045
Sub-Saharan Africa,-65.96061,-2.8839645
Sub-Saharan Africa,4.905521,55.56035
Sub-Saharan Africa,32.89232,-40.077946
Sub-Saharan Africa,8.138171,-5.2440553
Latin America and Caribbean,42.22613,10.567694
Latin America and Caribbean,-23.007282,-10.061637
Latin America and Caribbean,-18.017965,9.842563
Latin America and Caribbean,-26.236443,43.83974
Latin America and Caribbean,-46.816483,24.341028
Latin America and Caribbean,-2.2900677,-24.001823
Latin America and Caribbean,-27.415592,-41.28287
Latin America and Caribbean,29.694368,34.02583
Latin America and Caribbean,5.2240086,-59.07452
Latin America and Caribbean,3.9731255,15.057721
Latin America and Caribbean,-55.135742,-1.3716153
Latin America and Caribbean,-0.18644647,46.80831
Latin America and Caribbean,33.122997,-30.20122
Latin America and Caribbean,16.413437,-5.5742846
Latin America and Caribbean,63.464905,-8.010649
East Asia,40.317272,7.947304
East Asia,-24.74818,-10.835862
