regional_indicator,embedding_x,embedding_y
Western Europe,-23.70812,32.274624
Sub-Saharan Africa,26.107689,37.527107
Sub-Saharan Africa,18.581015,52.674305
Sub-Saharan Africa,29.92645,40.623962
Sub-Saharan Africa,18.40293,52.738564
Sub-Saharan Africa,32.327038,38.927208
Sub-Saharan Africa,26.326275,37.716534
Sub-Saharan Africa,26.752882,38.12214
Sub-Saharan Africa,28.55143,39.10059
Sub-Saharan Africa,29.002087,39.746532
Sub-Saharan Africa,30.845646,41.777912
Sub-Saharan Africa,29.874317,39.97025
Sub-Saharan Africa,28.561565,39.088295
Latin America and Caribbean,42.331955,-3.1914485
Latin America and Caribbean,33.320515,-9.589061
Latin America and Caribbean,9.727172,7.319731
Latin America and Caribbean,6.744126,2.254417
Latin America and Caribbean,10.191561,6.331182
Latin America and Caribbean,6.8193393,2.2303283
Latin America and Caribbean,-28.444706,-2.1955225
Latin America and Caribbean,-0.06680047,6.6568847
Latin America and Caribbean,-34.948124,-6.510029
Latin America and Caribbean,-7.416064,1.4844873
Latin America and Caribbean,-1.416341,4.9796124
Latin America and Caribbean,32.016552,-20.635815
Latin America and Caribbean,11.473093,-10.167375
Latin America and Caribbean,1.0419384,4.2267857
Latin America and Caribbean,0.76670265,-9.683433
Central and Eastern Europe,-29.110111,-50.09291
Central and Eastern Europe,-30.683432,-50.877186
Central and Eastern Europe,4.6308184,-53.644733
Central and Eastern Europe,-4.9044695,-56.36256
Central and Eastern Europe,-30.15658,-49.738018
Central and Eastern Europe,-29.9706,-49.76169
Central and Eastern Europe,-29.433279,-49.823307
Central and Eastern Europe,2.4648094,-60.168995
Central and Eastern Europe,-29.204617,-47.898865
Central and Eastern Europe,-29.56134,-49.26337
Central and Eastern Europe,-28.602518,-47.872208
Central and Eastern Europe,-28.68956,-47.738205
Central and Eastern Europe,-29.366343,-47.442722
Sub-Saharan Africa,58.96856,10.450915
Sub-Saharan Africa,57.567554,9.174894
Sub-Saharan Africa,56.550777,10.707731
Sub-Saharan Africa,54.730423,12.116638
Sub-Saharan Africa,54.666763,11.557603
Sub-Saharan Africa,54.41277,10.94272
Sub-Saharan Africa,51.087982,10.318718
Sub-Saharan Africa,48.0266,9.568239
Sub-Saharan Africa,45.29052,9.434959
Sub-Saharan Africa,42.64132,8.931699
Sub-Saharan Africa,41.970234,-3.3090482
Sub-Saharan Africa,37.50071,-10.014448
Latin America and Caribbean,-35.411045,-7.271332
Latin America and Caribbean,-31.64594,-10.264725
Latin America and Caribbean,3.8648112,-1.6946726
Latin America and Caribbean,3.7723455,-0.937791
Latin America and Caribbean,2.9329474,-0.85487956
Latin America and Caribbean,-2.5421522,-2.6065588
Latin America and Caribbean,-35.175274,-8.145134
Latin America and Caribbean,4.075251,-2.1411135
Latin America and Caribbean,7.133965,-1.5648202
Latin America and Caribbean,-31.444288,-11.874969
Latin America and Caribbean,3.204206,-3.1344376
Latin America and Caribbean,13.75382,-12.045943
Latin America and Caribbean,10.345598,-7.2957816
Latin America and Caribbean,-4.096941,-1.5742213
Latin America and Caribbean,24.183928,-19.74593
Central and Eastern Europe,1.5772613,-56.912777
Central and Eastern Europe,1.5950729,-56.592915
Central and Eastern Europe,1.0418085,-56.29927
Central and Eastern Europe,1.3542572,-55.9175
Central and Eastern Europe,1.031066,-55.784477
Central and Eastern Europe,0.95573044,-55.621292
Central and Eastern Europe,0.33726245,-55.293934
Central and Eastern Europe,0.1269582,-55.303684
Central and Eastern Europe,-1.6193014,-53.344215
Central and Eastern Europe,-0.2781112,-54.921864
Central and Eastern Europe,-4.300751,-51.667313
Central and Eastern Europe,-30.421816,-41.819942
Sub-Saharan Africa,41.70724,35.582615
Sub-Saharan Africa,42.116673,34.617653
Sub-Saharan Africa,15.352928,53.099194
Sub-Saharan Africa,25.984648,35.23222
Sub-Saharan Africa,18.018312,51.861103
Sub-Saharan Africa,15.266256,52.064243
Sub-Saharan Africa,38.90426,25.801163
Sub-Saharan Africa,35.99609,28.117983
Sub-Saharan Africa,18.042873,51.916306
Sub-Saharan Africa,35.911816,28.057068
Sub-Saharan Africa,21.642769,49.908775
Sub-Saharan Africa,36.716587,23.720167
Sub-Saharan Africa,36.796883,23.740566
Sub-Saharan Africa,14.78556,56.37408
Sub-Saharan Africa,26.1565,28.75901
Sub-Saharan Africa,29.25753,41.56691
Sub-Saharan Africa,26.353489,28.737862
Sub-Saharan Africa,29.891096,40.054363
Southeast Asia,44.835426,5.1261373
Southeast Asia,44.735985,34.94009
Southeast Asia,37.325485,17.817282
Southeast Asia,40.936142,13.199922
Southeast Asia,41.603714,3.441667
Southeast Asia,40.986465,-5.0614624
Southeast Asia,32.73787,-9.975795
Southeast Asia,33.20093,-9.19391
Southeast Asia,-25.422083,0.9119371
Southeast Asia,-26.667122,0.35940158
Southeast Asia,-27.057152,-1.1576202
Southeast Asia,-27.631382,-1.5968994
Southeast Asia,-28.107832,-1.9724376
Southeast Asia,-28.66249,-2.3442872
Southeast Asia,-33.18628,-5.8019195
Sub-Saharan Africa,33.417118,32.218643
Sub-Saharan Africa,42.649776,34.5231
Sub-Saharan Africa,33.29709,32.019146
Sub-Saharan Africa,26.63206,34.17314
Sub-Saharan Africa,33.395527,31.702404
Sub-Saharan Africa,33.01682,31.333597
Sub-Saharan Africa,35.93906,28.030918
Sub-Saharan Africa,38.92028,26.081938
Sub-Saharan Africa,43.819096,25.200365
Sub-Saharan Africa,43.737076,23.837406
Sub-Saharan Africa,44.0278,23.784115
Sub-Saharan Africa,44.01672,23.720778
Sub-Saharan Africa,44.735294,23.892923
Sub-Saharan Africa,44.276134,22.813532
Sub-Saharan Africa,44.944115,23.139484
North America and ANZ,-28.910927,30.510551
North America and ANZ,-16.718636,35.680523
North America and ANZ,-16.320684,37.9265
North America and ANZ,-16.723713,35.947865
North America and ANZ,-16.74619,35.84857
North America and ANZ,-16.006964,38.79912
North America and ANZ,-15.686404,39.739853
North America and ANZ,-15.289675,40.064915
North America and ANZ,-15.110073,40.301113
North America and ANZ,-14.140286,40.568832
North America and ANZ,-13.514535,45.185463
North America and ANZ,-15.61788,46.629356
North America and ANZ,-15.76519,46.926052
North America and ANZ,-16.093805,47.114697
North America and ANZ,-17.70387,45.292244
Sub-Saharan Africa,13.036839,54.66456
Sub-Saharan Africa,25.66426,28.378008
Sub-Saharan Africa,14.630111,53.687065
Sub-Saharan Africa,13.717139,54.807034
Sub-Saharan Africa,14.343987,53.442368
Sub-Saharan Africa,25.88684,35.374653
Sub-Saharan Africa,15.713862,52.73694
Sub-Saharan Africa,15.293056,55.75756
Sub-Saharan Africa,15.498538,52.5793
Sub-Saharan Africa,28.41495,27.253687
Sub-Saharan Africa,17.855894,52.594246
Sub-Saharan Africa,41.26458,23.91913
Sub-Saharan Africa,14.514342,51.65426
Sub-Saharan Africa,25.842476,35.61642
Latin America and Caribbean,-19.172642,-7.8809495
Latin America and Caribbean,-17.810486,-7.8992357
Latin America and Caribbean,-21.016596,-9.224143
Latin America and Caribbean,-19.300913,-7.8495874
Latin America and Caribbean,-33.56143,-11.726659
Latin America and Caribbean,-20.005915,-8.349465
Latin America and Caribbean,-18.400085,-7.8409863
Latin America and Caribbean,-20.053255,-8.371105
Latin America and Caribbean,-18.26145,-7.806954
Latin America and Caribbean,-33.228336,-12.292925
Latin America and Caribbean,-20.104195,-8.015075
Latin America and Caribbean,-33.68243,-10.726317
Latin America and Caribbean,-6.468946,-5.9060135
Latin America and Caribbean,-6.505977,-5.8848195
Latin America and Caribbean,-44.855957,-9.9310055
East Asia,-24.99358,-10.933979
East Asia,6.440764,6.9143596
East Asia,3.6563704,5.857803
East Asia,6.1090612,6.9256186
East Asia,5.589756,6.4980907
East Asia,5.9506702,6.8993764
East Asia,5.93377,6.9578266
East Asia,5.887775,6.9742436
East Asia,9.118885,-3.851203
East Asia,8.759204,-3.666167
East Asia,8.862498,-3.7178142
East Asia,-0.75783736,1.0897604
East Asia,-0.74367553,1.4464124
East Asia,-0.67328674,1.6682767
East Asia,-6.4629726,-5.905218
Latin America and Caribbean,-31.91618,-10.573688
Latin America and Caribbean,-5.7592335,2.1178067
Latin America and Caribbean,-5.4925075,2.091904
Latin America and Caribbean,9.047488,2.804906
Latin America and Caribbean,2.7158723,0.121621616
Latin America and Caribbean,2.9491534,-1.336169
Latin America and Caribbean,-40.121037,-8.185521
Latin America and Caribbean,-0.33620694,-40.547882
Latin America and Caribbean,-2.4324732,-10.036453
Latin America and Caribbean,4.1274743,-2.1021955
Latin America and Caribbean,-0.15961081,-41.257687
Latin America and Caribbean,-1.596498,-10.149033
Latin America and Caribbean,-1.4146307,-3.7024455
Latin America and Caribbean,-1.0148941,-3.9962769
Latin America and Caribbean,-1.130583,-1.6658915
Sub-Saharan Africa,37.0357,34.12165
Sub-Saharan Africa,37.55899,32.44146
Sub-Saharan Africa,37.5414,32.466694
Sub-Saharan Africa,34.826668,31.75626
Sub-Saharan Africa,37.777878,17.2125
Sub-Saharan Africa,37.270477,15.838575
Sub-Saharan Africa,14.739171,53.95052
Sub-Saharan Africa,33.899914,26.385197
Sub-Saharan Africa,16.654774,50.883224
Sub-Saharan Africa,31.973206,31.911097
Sub-Saharan Africa,53.637363,14.695896
Sub-Saharan Africa,53.6181,14.708138
Sub-Saharan Africa,30.303492,33.623528
Sub-Saharan Africa,29.95073,32.270714
Sub-Saharan Africa,27.823475,33.59066
Sub-Saharan Africa,39.148693,12.159442
Latin America and Caribbean,-44.096096,-9.308666
Latin America and Caribbean,-44.112152,-9.065046
Latin America and Caribbean,-44.00782,-8.837275
Latin America and Caribbean,-41.38551,-7.7777967
Latin America and Caribbean,-41.232327,-7.8045015
Latin America and Caribbean,-33.29051,-3.4622438
Latin America and Caribbean,-44.543785,-9.591985
Latin America and Caribbean,-48.40597,6.0185323
Latin America and Caribbean,-56.49057,13.386299
Latin America and Caribbean,-54.888714,13.231311
Latin America and Caribbean,-54.98511,13.3681345
Latin America and Caribbean,-55.056343,13.368785
Latin America and Caribbean,-47.848705,27.036045
Latin America and Caribbean,-49.109955,27.573353
Central and Eastern Europe,0.7281742,-53.500465
Central and Eastern Europe,-0.39688215,-54.93644
Central and Eastern Europe,-0.91291004,-54.993713
Central and Eastern Europe,-0.91290784,-54.993717
Central and Eastern Europe,-0.9400166,-54.98712
Central and Eastern Europe,-1.5508978,-55.39329
Central and Eastern Europe,-29.845848,-49.36982
Central and Eastern Europe,19.487162,-32.988857
Central and Eastern Europe,15.880362,-39.981007
Central and Eastern Europe,0.9598632,-52.218475
Central and Eastern Europe,-15.972475,-43.613533
Central and Eastern Europe,-53.898483,10.490787
Central and Eastern Europe,-54.261868,13.569775
Western Europe,-55.36607,14.9625025
Western Europe,-49.065308,22.82885
Western Europe,-51.348587,22.460443
Western Europe,-53.802284,15.090785
Western Europe,-50.32244,24.775867
Western Europe,-50.14537,24.865284
Western Europe,-50.311146,24.46022
Western Europe,-50.31072,24.460262
Western Europe,-50.05645,24.145144
Western Europe,-50.757523,25.0726
Western Europe,-50.646168,22.37338
Western Europe,-52.50167,17.56287
Western Europe,-54.04326,13.048258
